code,name_en,name_fr,description_en,description_fr
43081,Multisector education/training,Éducation et formation plurisectorielles,Including scholarships.,Y compris les bourses.
43082,Research/scientific institutions,Institutions scientifiques et de recherche,When sector cannot be identified.,Quand le secteur ne peut être déterminé.
51010,General budget support,Aide relative au soutien budgétaire général,"Unearmarked contributions to the government budget; support for the implementation of macroeconomic reforms (structural adjustment programmes, poverty reduction strategies); general programme assistance (when not allocable by sector).","Contributions au budget du gouvernement non réservées ; soutien à la mise en œuvre des réformes macroéconomiques (programmes d’ajustement structurel, stratégies de réduction de la pauvreté) ; y compris l’aide-programme générale (ne pouvant être ventilée par secteur)."
52010,Food aid/Food security programmes,Programmes de sécurité et d’aide alimentaire,Supply of edible human food under national or international programmes including transport costs; cash payments made for food supplies; project food aid and food aid for market sales when benefiting sector not specified; excluding emergency food aid.,"Fourniture nationale ou internationale de produits alimentaires y compris frais de transport ; paiements comptants pour la fourniture de produits alimentaires ; projets d’aide alimentaire et aide alimentaire destinée à la vente quand le secteur bénéficiaire ne peut être précisé ; à l’exclusion de l’aide alimentaire d’urgence.

Notifier comme multilatéral : i) l'aide alimentaire consentie par l’UE et financée sur son budget propre puis répartie entre les États membres au pro rata de leur contribution à ce budget ; et ii) les contributions au budget central du PAM."
53030,Import support (capital goods),Subventions à l’importation (biens d’équipement),Capital goods and services; lines of credit.,Biens d’équipement et services ; lignes de crédit.
53040,Import support (commodities),Subventions à l’importation (produits),"Commodities, general goods and services, oil imports.","Produits, biens d’ordre général, importations de pétrole."
60010,Action relating to debt,Action se rapportant à la dette,Actions falling outside the code headings below.,Actions non spécifiées ci-dessous.
60020,Debt forgiveness,Annulation de la dette,Actions falling outside the code headings below.,
60030,Relief of multilateral debt,Allégement de la dette multilatérale,Grants or credits to cover debt owed to multilateral financial institutions; including contributions to Heavily Indebted Poor Countries (HIPC) Trust Fund.,Dons ou prêts affectés au remboursement d’échéances dues à des institutions financières multilatérales ; y compris les contributions au fonds spécial pour les PPTE.
60040,Rescheduling and refinancing,Rééchelonnement d’échéances et refinancement,Grants or credits to cover debt owed to multilateral financial institutions; including contributions to Heavily Indebted Poor Countries (HIPC) Trust Fund.,
60061,Debt for development swap,Échange de dette à des fins de développement,"Allocation of debt claims to use for development (e.g., debt for education, debt for environment).","Affectation de créances à des fins de développement (par exemple dette pour l’éducation, dette pour l’environnement, etc.)"
60062,Other debt swap,Autres échanges de dette,Where the debt swap benefits an external agent i.e. is not specifically for development purposes.,"Lorsque l’échange de dette profite à un agent extérieur, i.e. n’est pas spécifiquement opéré à des fins de développement."
60063,Debt buy-back,Rachat de la dette,Purchase of debt for the purpose of cancellation.,Achat de la dette en vue de son annulation.
72010,Material relief assistance and services,Assistance matérielle et services d’urgence,"Shelter, water, sanitation and health services, supply of medicines and other non-food relief items; assistance to refugees and  internally displaced people in developing countries other than for food (72040) or protection (72050).","Fourniture d’abris, d’eau, d’installations sanitaires et de services de santé, de médicaments et d’autres secours non alimentaires dans le but d’aider les populations affectées et de faciliter le retour à une vie et des moyens d’existence normaux ; aide aux personnes déplacées à l’intérieur d’un pays à des fins autres qu’alimentaires (72040) ou de protection (72050)."
72040,Emergency food aid,Aide alimentaire d’urgence,Food aid normally for general free distribution or special supplementary feeding programmes; short-term relief to targeted population groups affected by emergency situations.  Excludes non-emergency food security assistance programmes/food aid (52010).,Aide alimentaire pour distribution gratuite ou programmes alimentaires complémentaires ; soutien à court terme aux populations affectées par des catastrophes. Sont exclus les programmes non urgents de sécurité et d’aide alimentaire (52010).
72050,Relief co-ordination; protection and support services,Coordination des secours et services de soutien et de protection,"Measures to co-ordinate delivery of humanitarian aid, including logistics and communications systems;  measures to promote and protect the safety, well-being, dignity and integrity of civilians and those no longer taking part in hostilities.  (Activities designed to protect the security of persons or property through the use or display of force are not reportable as ODA.)","Mesures visant à coordonner l’acheminement de l’aide humanitaire, y compris les moyens logistiques et les systèmes de communication ; mesures de promotion et de protection de la sécurité, du bien-être, de la dignité et de l’intégrité des civils et des personnes qui ne prennent plus part aux hostilités. (Les activités ayant pour but de protéger la sécurité des personnes et des biens par l’usage ou la démonstration de la force ne sont pas comptabilisables dans l’APD.)"
73010,Reconstruction relief and rehabilitation,Aide à la reconstruction et réhabilitation,"Short-term reconstruction work after emergency or conflict limited to restoring pre-existing infrastructure (e.g. repair or construction of roads, bridges and ports, restoration of essential facilities, such as water and sanitation, shelter, health care services); social and economic rehabilitation in the aftermath of emergencies to facilitate transition and enable populations to return to their previous livelihood or develop a new livelihood in the wake of an emergency situation (e.g. trauma counselling and treatment, employment programmes).","Travaux de reconstruction à court terme après une urgence ou un conflit limités à la remise en état des infrastructures préexistantes (par exemple, réparation ou construction de routes, de ponts ou de ports, restauration des services essentiels concernant, par exemple, l’eau et l’assainissement, les abris, les soins de santé) ; réhabilitation sociale et économique après des situations d’urgence pour faciliter la transition et permettre aux populations touchées de retrouver leurs moyens d’existence antérieurs ou d’en trouver de nouveaux au sortir d’une situation d’urgence (par exemple, conseils et traitements en vue d’aider à surmonter les traumatismes subis, programmes d’emploi)."
74010,Disaster prevention and preparedness,Prévention des catastrophes et préparation à leur survenue,"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement.","Activités visant à réduire les risques liés aux catastrophes (par exemple développement des connaissances, établissement d’une cartographie des risques naturels, de normes juridiques pour les constructions) ; systèmes d’alerte précoce, stocks d’urgence et planification d’urgence, y compris préparation à une évacuation."
91010,Administrative costs,Frais administratifs (non alloués par secteur),"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement.",
93010,Refugees in donor countries,Réfugiés dans le pays donneur (non alloués par secteur),"Disaster risk reduction activities (e.g. developing knowledge, natural risks cartography, legal norms for construction); early warning systems; emergency contingency stocks and contingency planning including preparations for forced displacement.",
99810,Sectors not specified,Secteur non spécifié,Contributions to general development of the recipient should be included under programme assistance (51010).,Les contributions au développement général du pays bénéficiaire devraient être incluses dans l’aide programme (51010).
99820,Promotion of development awareness,Sensibilisation au développement (non alloués par secteur),"Spending in donor country for heightened awareness/interest in development co-operation (brochures, lectures, special research projects, etc.).","Dépenses dans le pays donneur afin de renforcer la sensibilisation et l’intérêt dans la coopération pour le développement (brochures, exposés, projets spéciaux de recherche, etc.)."
